City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hobart,AU,2021-08-12 13:31:54,-42.8794,147.3294,51.26,75,75,1.99
68,New Norfolk,AU,2021-08-12 13:33:11,-42.7826,147.0587,50.92,74,100,8.7
69,Samarai,PG,2021-08-12 13:33:12,-10.6167,150.6667,76.98,88,100,17.81
70,Nanortalik,GL,2021-08-12 13:30:28,60.1432,-45.2371,46.87,81,59,10.04
71,Caravelas,BR,2021-08-12 13:33:12,-17.7125,-39.2481,77.74,60,77,8.32
72,Willowmore,ZA,2021-08-12 13:33:12,-33.2926,23.4895,45.9,62,68,19.98
73,Moerai,PF,2021-08-12 13:30:50,-22.4333,-151.3333,72.41,84,100,14.23
74,Saldanha,ZA,2021-08-12 13:28:29,-33.0117,17.9442,59.05,53,6,23.47
75,Praya,CV,2021-08-12 13:33:13,14.9215,-23.5087,84.74,54,20,14.97
76,Orocue,CO,2021-08-12 13:33:13,4.7912,-71.3354,75.79,86,100,5.7
77,Khuzdar,PK,2021-08-12 13:33:14,27.7384,66.6434,93.85,23,47,10.54
78,Waipawa,NZ,2021-08-12 13:33:14,-41.4122,175.5153,53.02,75,100,22.55
79,Cidreira,BR,2021-08-12 13:33:14,-30.1811,-50.2056,55.13,61,59,5.79
80,Cartagena,CO,2021-08-12 13:33:14,10.3997,-75.5144,82.02,94,20,2.3
81,Coihaique,CL,2021-08-12 13:33:15,-45.5752,-72.0662,33.75,86,20,6.91
82,Kondinskoye,RU,2021-08-12 13:33:15,59.6481,67.41,66.27,57,72,4.94
83,Airai,TL,2021-08-12 13:33:15,-8.9266,125.4092,58.23,80,46,3.76
84,Abu Zabad,SD,2021-08-12 13:33:15,12.35,29.25,86.38,50,68,6.29
85,Beringovskiy,RU,2021-08-12 13:33:16,63.05,179.3167,43.63,89,100,3.94
86,Lavrentiya,RU,2021-08-12 13:33:16,65.5833,-171.0,36.95,73,51,6.89
87,Tasiilaq,GL,2021-08-12 13:33:16,65.6145,-37.6368,60.96,70,2,6.24
88,Faanui,PF,2021-08-12 13:33:16,-16.4833,-151.75,78.1,73,23,11.56
89,Valdivia,CL,2021-08-12 13:29:12,-39.8142,-73.2459,33.89,90,11,2.82
90,Sola,VU,2021-08-12 13:33:17,-13.8833,167.55,77.9,79,47,26.22
91,Bengkulu,ID,2021-08-12 13:33:17,-3.8004,102.2655,77.14,87,80,4.09
92,Pevek,RU,2021-08-12 13:33:17,69.7008,170.3133,42.8,65,97,11.21
93,Egvekinot,RU,2021-08-12 13:31:01,66.3167,-179.1667,37.24,83,97,0.92
94,Ribeira Grande,PT,2021-08-12 13:33:18,38.5167,-28.7,75.6,83,20,16.11
95,Kenai,US,2021-08-12 13:33:18,60.5544,-151.2583,54.03,95,90,3.44
96,Bambous Virieux,MU,2021-08-12 13:33:18,-20.3428,57.7575,75.45,73,40,13.8
97,Kieta,PG,2021-08-12 13:32:41,-6.2167,155.6333,77.04,85,100,1.14
98,Tolbazy,RU,2021-08-12 13:33:19,54.0241,55.8825,75.96,23,52,7.07
99,Huitziltepec,MX,2021-08-12 13:33:19,17.8167,-99.4667,62.96,91,41,1.16
100,Tahta,EG,2021-08-12 13:33:19,26.7693,31.5021,106.12,9,0,14.23
101,Poum,NC,2021-08-12 13:33:20,-20.2333,164.0167,69.75,66,6,19.69
102,Carnarvon,AU,2021-08-12 13:33:20,-24.8667,113.6333,50.07,32,0,4.61
103,Carutapera,BR,2021-08-12 13:33:20,-1.195,-46.02,87.06,65,36,11.52
104,Mehamn,NO,2021-08-12 13:30:08,71.0357,27.8492,53.51,83,99,13.35
105,Bredasdorp,ZA,2021-08-12 13:33:20,-34.5322,20.0403,56.52,54,72,10.36
106,Sinnamary,GF,2021-08-12 13:33:21,5.3833,-52.95,83.97,66,85,4.63
107,Lebu,CL,2021-08-12 13:33:21,-37.6167,-73.65,50.94,54,0,1.86
108,Yuncheng,CN,2021-08-12 13:33:21,35.0231,110.9928,71.1,90,100,2.35
109,Touros,BR,2021-08-12 13:33:08,-5.1989,-35.4608,77.9,61,52,17.11
110,Redlands,US,2021-08-12 13:33:22,34.0556,-117.1825,80.87,41,1,0.0
111,Acarau,BR,2021-08-12 13:33:22,-2.8856,-40.12,88.23,58,13,18.03
112,Cruzeiro Do Sul,BR,2021-08-12 13:33:22,-29.5128,-51.9853,49.51,63,89,4.52
113,Bilma,NE,2021-08-12 13:30:55,18.6853,12.9164,102.29,21,0,9.33
114,Upernavik,GL,2021-08-12 13:31:35,72.7868,-56.1549,43.95,79,97,8.41
115,Saint-Francois,FR,2021-08-12 13:33:23,46.4154,3.9054,90.48,54,0,4.61
116,Itako,JP,2021-08-12 13:33:23,35.9333,140.55,73.85,94,100,9.22
117,Srednekolymsk,RU,2021-08-12 13:33:23,67.45,153.6833,64.49,39,100,0.34
